name,genre,active,contact,link,keywords
Khabar Lahariya,Media,2002,khabarlahariyadelhi@gmail.com,https://khabarlahariya.org/,"women's narratives, media, caste"
India Unheard,Media,2003,info@videovolunteers.org,https://www.youtube.com/c/videovolunteers/featured,"community, media"
Blank Noise,Art Project,2003,actionhero@blanknoise.org,https://www.blanknoise.org/home,"community, art, violence"
Ghar (Gay housing assistance and resource),Community,2004,,https://www.facebook.com/groups/ghar.mumbai/,"community, queer narratives, society"
Living Feminisms,Digital Archive,2004,jagori@jagori.org,http://www.livingfeminisms.org/,"archive, feminist historiography, women's narratives"
In Plainspeak,Magazine,2005,blogeditor@tarshi.net,https://www.tarshi.net/inplainspeak/,"sexual and reproductive health, writing"
Kafila,Blog,2006,,https://kafila.online/about/,"media, dissent"
Public Access Digital Media Archive (Pad.ma),Digital Archive,2007,pad.ma@pad.ma,https://pad.ma/grid/title,"archive, community"
Gaysi,Media,2008,gaysifamily@gmail.com,https://gaysifamily.com/,"queer narratives, media"
Gaylaxy,Magazine,2010,editor@gaylaxymag.com,https://www.gaylaxymag.com/,"queer narratives, campaign"
Women's Web,Media,2010,community@womensweb.in,https://www.womensweb.in/about-us/,"women's narratives, writing"
Voices Unheard,Digital Archive,2012,,https://voicesunheard1.wordpress.com/,"archive, women's narratives, violence"
Nirantar Blogs,Blog,2012,91-11-26966334,https://nirantarblogs.wordpress.com/,"women's narratives, education"
Dalit Women Fight,Community,2013,dalitwomenspeak@gmail.com,https://dalitwomenfight.org/,"women's narratives, caste, campaign"
The Ladies Finger,Magazine,2013,fingerzine@gmail.com,http://theladiesfinger.com/,"women's narratives, society"
Support Group for Justice for Kunan Poshpora,Community,2013,solidarityforkunanposhpora@gmail.com,https://www.facebook.com/KunanposhporaCampaign/?ref=page_internal,"women's narratives, violence"
Qradio,Media,2013,info@radiowalla.in,https://www.facebook.com/qradiowalla/,"queer narratives, activism"
Indian Women Blog,Magazine,2014,contactindianwomen@gmail.com,https://www.indianwomenblog.org/,"women's narratives, campaign"
 ,Media,2014,editors@theswaddle.com,https://theswaddle.com/,"queer narratives, society, media"
Feminism In India,Media,2014,info@feminisminindia.com,https://feminisminindia.com/,"media, art, culture"
Pari Network(Peoples archive of Rural India),Media,2014,contact@ruralindiaonline.org,https://ruralindiaonline.org/en/,"women's narratives, archive, society"
Chambal Media,Media,2015,info@chambalmedia.com,https://chambalmedia.com/,"women's narratives, media, society"
Asexual India,Blog,2016,,https://asexualityindia.org/index.html,"queer narratives, society"
The Queer Muslim Project,Community,2017,info@tqmp.in,https://www.thequeermuslim.com/,"religion, queer narratives, art"
Almaari (Our Closet Project),Magazine,2017,,https://almaarii.wordpress.com/,"queer narratives, writing"
iqueerlit,Digital Archive,2017,,https://www.instagram.com/iqueerlit/,"queer narratives, writing, art"
The Glass Closet,Blog,2017,theglassclosetblog@gmail.com,https://theglassclosetsblog.wordpress.com/,"queer narratives, education"
TransVision,Media,2017,transvisionhyd@gmail.com,https://www.youtube.com/channel/UCYjwx0gcDp-C-uPZITPrbJg/featured,"trans, campaign, society"
Coven Code,Community,2018,thecovencollection@gmail.com,https://www.instagram.com/coven.code/?hl=en,"queer narratives, community"
Dalit Queer Project,Community,2018,,https://www.instagram.com/dalitqueerproject/,"queer narratives, caste"
Project Anti-Caste Love,Community,2018,projectanticastelove@gmail.com,https://www.instagram.com/projectanticastelove/,"queer narratives, caste, religion"
The Sanskaaraki Girls Book Club,Virtual Book Club,2018,,https://www.instagram.com/sanskaarigirls/,"feminism, community, education"
The Chinky Homo Project,Community,2018,chinkyhomo@gmail.com,https://thechinkyhomoproject.wordpress.com/,"queer narratives, writing"
The Pink List India,Digital Archive,2018,,https://www.pinklistindia.com/,"archive, queer narratives"
Queerabad,Community,2018,queerabad@gmail.com,https://www.facebook.com/queerabad/about/?ref=page_internal,"queer narratives, community"
Mithra Trust,Support Group,2018,hello@mithratrust.com,https://mithratrust.com/,"queer narratives, society, violence"
Dalit Feminism Archive,Digital Archive,2019,dalit.feminism@gmail.com,https://www.instagram.com/dalitfeminismarchive/,"archive, women's narratives, caste"
Smashboard,Digital Advocacy,2019,info@smashboard.org,https://site.smashboard.org/about,"feminism, community"
Basanti: Women at Leisure,Photo Project,2019,,https://www.instagram.com/women_at_leisure/,"women's narratives, community, society"
Women Walk At Midnight,Community,2019,keepyourhelmeton@gmail.com,https://www.instagram.com/wewalkatmidnight/,"women's narratives, community"
Rainbow Health Delhi,Support Group,2019,aident.tg@gmail.com,https://rainbowhealth.in/home,"hiv/aids, education, health"
Manipur LGBTQ plus,Community,2019,,https://www.instagram.com/manipurlgbtq/,"queer narratives, community"
Cecilia'ed,Art Project,2019,ceciliaed19@gmail.com,https://www.ceciliaed.com/,"art, culture, activism"
Behan Box,Media,2019,editor@behanbox.com,https://behanbox.com,"media, women, trans"
Kashmir Pop Art,Art Project,2020,,https://www.instagram.com/kashmirpopart/?hl=en,"art, activism, violence"
Zanaan Wanaan,Community,2020,info@zanaanwanaan.com,https://zanaanwanaan.com/,"women, writing, violence"
Indian Medical Student's Association of Pride and Sexuality,Community,2020,,https://www.instagram.com/_imsaps/,"queer narratives, education"
Manushi,Digital Archive,2020,editor@manushi-india.org,https://www.manushi.in/,"women's narratives, society, activism"
Queer Women Collective India,Community,2020,queerwomencollective@gmail.com,https://www.instagram.com/qwc.india/,"queer narratives, community"
Womxn Writers Project,Art Project,2020,womxnwritersproject@gmail.com,http://womxnwritersproject.com/,"writing, culture"
Dragvanti,Magazine,2020,dragvanti@gmail.com,https://www.dragvanti.com/,"drag, art"
All About Me,Art Project,2020,,https://www.instagram.com/allllaboutmeee/,"art, queer narratives, drag"
Zinedebaad,Magazine,2020,,https://www.instagram.com/zinedabaad/,"writing, community, art"
